#{"t_start": 1561044984.770769, "env_id": "threes-v0"}
165.0,37,38.070834
78.0,28,38.090824
204.0,46,38.127098
72.0,23,38.143811
624.0,86,38.208481
216.0,51,38.24956
360.0,51,38.28779
342.0,48,38.322274
138.0,32,38.346103
183.0,45,38.385152
225.0,56,38.426373
1155.0,317,38.631986
396.0,57,38.675714
300.0,57,38.71654
297.0,52,38.760483
201.0,117,38.835733
327.0,66,38.880789
474.0,78,38.937245
69.0,20,38.95202
126.0,34,38.978656
84.0,33,39.002448
162.0,33,39.029217
153.0,36,39.055967
333.0,59,39.104784
189.0,57,39.145626
93.0,28,39.167626
39.0,39,39.194812
48.0,18,39.207507
141.0,36,39.234401
522.0,90,39.301535
360.0,48,39.339159
384.0,55,39.382509
60.0,54,39.419544
162.0,38,39.446002
327.0,54,39.491633
138.0,33,39.51864
285.0,43,39.551131
132.0,34,39.577247
84.0,27,39.597983
423.0,70,39.648023
150.0,32,39.671564
234.0,64,39.719311
195.0,54,39.761198
144.0,34,39.785359
708.0,92,39.858868
936.0,100,39.932306
570.0,71,39.986632
393.0,60,40.031949
294.0,57,40.07489
438.0,69,40.127505
384.0,74,40.180586
1122.0,106,40.265349
426.0,63,40.312735
300.0,49,40.34979
84.0,22,40.365662
144.0,41,40.395018
849.0,76,40.453778
873.0,85,40.52
396.0,56,40.564742
363.0,85,40.633923
183.0,39,40.663044
120.0,28,40.685526
951.0,90,40.755837
102.0,30,40.778451
120.0,39,40.805602
180.0,42,40.836021
63.0,23,40.854206
453.0,85,40.915131
66.0,34,40.938384
339.0,64,40.987448
60.0,21,41.005082
129.0,28,41.025986
246.0,59,41.069488
489.0,85,41.133141
237.0,57,41.174846
285.0,58,41.219104
183.0,39,41.249784
354.0,52,41.288583
198.0,40,41.317481
225.0,42,41.349311
468.0,71,41.408502
288.0,60,41.453803
327.0,44,41.487636
300.0,59,41.53229
231.0,52,41.572694
912.0,113,41.654422
405.0,55,41.69518
90.0,31,41.719252
405.0,78,41.78038
534.0,93,41.850351
276.0,72,41.902909
153.0,35,41.92974
237.0,46,41.965785
156.0,39,41.996256
381.0,53,42.036474
318.0,57,42.077267
345.0,55,42.123216
120.0,27,42.144833
222.0,47,42.180466
135.0,31,42.204036
36.0,18,42.218387
396.0,68,42.268166
141.0,33,42.293284
549.0,96,42.364353
426.0,64,42.411947
402.0,62,42.456388
141.0,30,42.478458
510.0,89,42.549512
291.0,46,42.583652
168.0,37,42.613196
423.0,68,42.663798
390.0,54,42.705839
720.0,100,42.782714
234.0,46,42.818084
231.0,57,42.861335
249.0,58,42.909774
468.0,74,42.964752
186.0,44,42.999127
78.0,24,43.018012
33.0,15,43.029715
54.0,17,43.042625
402.0,68,43.094624
117.0,38,43.122604
309.0,58,43.16803
417.0,66,43.218526
369.0,63,43.272494
66.0,26,43.292248
1002.0,119,43.380684
165.0,40,43.410907
75.0,26,43.430038
381.0,58,43.474064
645.0,87,43.542157
123.0,31,43.56571
615.0,72,43.618957
192.0,40,43.65277
264.0,51,43.692377
498.0,92,43.761012
816.0,73,43.818218
669.0,92,43.887963
225.0,47,43.927054
30.0,15,43.938997
108.0,33,43.963728
84.0,23,43.982235
174.0,35,44.009413
183.0,47,44.049269
189.0,48,44.086293
483.0,68,44.138509
174.0,38,44.16799
177.0,51,44.2054
345.0,60,44.250937
270.0,56,44.294121
243.0,50,44.333334
126.0,35,44.361194
459.0,91,44.434522
267.0,62,44.481045
465.0,63,44.530133
111.0,29,44.550329
207.0,41,44.580988
1158.0,106,44.659547
141.0,29,44.681597
1209.0,130,44.779045
258.0,53,44.823843
426.0,65,44.874429
456.0,74,44.930667
201.0,50,44.96834
171.0,39,44.998136
225.0,53,45.038482
225.0,48,45.076198
81.0,25,45.095932
75.0,20,45.111967
150.0,38,45.141868
318.0,71,45.199986
399.0,78,45.253161
99.0,28,45.27397
339.0,68,45.324705
75.0,21,45.340659
399.0,66,45.390834
354.0,59,45.436826
270.0,59,45.482023
1080.0,106,45.56283
411.0,61,45.61427
189.0,41,45.645194
210.0,38,45.675415
225.0,42,45.706925
144.0,41,45.736504
294.0,65,45.78578
1293.0,119,45.878132
681.0,87,45.942427
93.0,30,45.969552
180.0,36,45.997507
372.0,65,46.046084
153.0,32,46.070277
414.0,65,46.118943
411.0,58,46.1645
345.0,53,46.204852
201.0,49,46.242232
174.0,39,46.271296
600.0,85,46.330828
162.0,36,46.362833
174.0,44,46.396665
213.0,45,46.430675
126.0,29,46.453012
489.0,90,46.519986
1020.0,113,46.602794
87.0,36,46.629022
150.0,32,46.652394
1329.0,120,46.746137
324.0,50,46.783528
444.0,67,46.833884
267.0,58,46.87794
159.0,38,46.906848
72.0,23,46.923925
165.0,36,46.951146
447.0,75,47.006038
57.0,19,47.020488
75.0,26,47.038843
414.0,59,47.081946
111.0,31,47.111349
198.0,45,47.1456
372.0,58,47.190993
321.0,66,47.240359
405.0,54,47.281596
105.0,22,47.29808
174.0,47,47.335167
123.0,45,47.369688
438.0,91,47.434437
162.0,46,47.466094
336.0,65,47.520643
153.0,38,47.550467
426.0,80,47.609971
201.0,55,47.650893
231.0,48,47.687044
237.0,106,47.760286
348.0,44,47.791676
162.0,36,47.819434
384.0,58,47.868129
414.0,64,47.916541
123.0,37,47.943855
198.0,50,47.98136
477.0,81,48.042057
132.0,29,48.06367
162.0,41,48.095835
315.0,59,48.138542
78.0,23,48.156961
195.0,54,48.197191
252.0,54,48.24331
162.0,40,48.273122
210.0,52,48.311164
84.0,23,48.329156
342.0,51,48.368145
126.0,39,48.397781
225.0,44,48.430093
381.0,54,48.47334
129.0,36,48.502209
405.0,66,48.558024
294.0,45,48.592252
381.0,54,48.63778
204.0,59,48.681597
414.0,113,48.761139
264.0,54,48.800259
165.0,39,48.827985
258.0,65,48.876352
177.0,39,48.906568
954.0,93,48.977055
396.0,75,49.037537
189.0,45,49.071466
315.0,95,49.13655
102.0,32,49.16008
75.0,21,49.176007
441.0,63,49.224759
264.0,62,49.271051
189.0,46,49.307424
243.0,57,49.348705
147.0,36,49.3811
429.0,67,49.432323
168.0,48,49.466585
99.0,30,49.488751
114.0,36,49.516772
99.0,35,49.54302
393.0,66,49.593912
75.0,25,49.613604
177.0,37,49.641729
369.0,180,49.761832
168.0,39,49.79089
486.0,76,49.848348
141.0,35,49.874697
78.0,27,49.894448
132.0,29,49.91679
207.0,43,49.950834
93.0,26,49.970237
414.0,55,50.012208
285.0,229,50.161714
165.0,46,50.193431
66.0,22,50.20876
312.0,105,50.277747
405.0,64,50.323928
165.0,35,50.350852
2676.0,223,50.51555
345.0,103,50.587182
321.0,114,50.663812
165.0,60,50.707023
123.0,36,50.733992
402.0,83,50.795966
483.0,65,50.851036
1011.0,112,50.931318
171.0,41,50.962777
240.0,54,51.001205
402.0,201,51.135639
477.0,74,51.195277
279.0,55,51.236123
462.0,81,51.295683
195.0,38,51.322779
126.0,32,51.347006
27.0,13,51.355825
984.0,337,51.578043
276.0,79,51.630299
1341.0,126,51.723886
483.0,68,51.773731
213.0,51,51.810065
468.0,159,51.918895
543.0,154,52.020067
216.0,60,52.061232
198.0,41,52.091508
150.0,33,52.11693
183.0,40,52.146456
735.0,108,52.248585
1152.0,129,52.378563
396.0,67,52.43676
663.0,89,52.526612
231.0,49,52.58309
327.0,47,52.622967
273.0,53,52.664874
486.0,87,52.736829
135.0,32,52.760118
225.0,64,52.805441
213.0,50,52.841191
615.0,121,52.926722
141.0,31,52.949711
159.0,34,52.975443
57.0,20,52.990649
96.0,23,53.009772
195.0,43,53.041606
1137.0,114,53.132258
369.0,52,53.171704
381.0,50,53.209838
372.0,49,53.248751
849.0,89,53.331628
297.0,67,53.391605
219.0,84,53.448563
150.0,31,53.47086
396.0,67,53.527911
483.0,67,53.577937
240.0,46,53.613363
228.0,86,53.674627
297.0,148,53.773358
189.0,43,53.805702
414.0,64,53.856633
228.0,50,53.894084
126.0,40,53.923954
291.0,66,53.972972
288.0,53,54.012447
1437.0,146,54.124946
204.0,52,54.1624
450.0,69,54.211599
909.0,98,54.28852
72.0,25,54.307122
204.0,61,54.353004
111.0,30,54.37561
192.0,35,54.402342
108.0,27,54.422459
69.0,26,54.44223
180.0,38,54.472902
51.0,45,54.504907
978.0,111,54.583908
66.0,22,54.599162
90.0,30,54.626832
237.0,47,54.663282
402.0,62,54.709829
405.0,64,54.758148
192.0,49,54.794842
144.0,34,54.821502
237.0,48,54.857284
156.0,34,54.883222
192.0,47,54.918275
123.0,37,54.946437
162.0,37,54.974018
246.0,53,55.020348
327.0,47,55.056017
177.0,40,55.086542
456.0,81,55.145868
321.0,45,55.180213
456.0,71,55.236677
156.0,35,55.264887
1110.0,99,55.347377
138.0,33,55.376022
336.0,60,55.430394
153.0,35,55.456823
561.0,84,55.521636
270.0,55,55.56327
207.0,63,55.609662
246.0,49,55.64797
183.0,41,55.679437
489.0,87,55.745815
72.0,20,55.76152
501.0,80,55.827459
153.0,33,55.852036
45.0,23,55.869687
72.0,25,55.888736
84.0,25,55.908014
102.0,26,55.927805
180.0,38,55.957587
123.0,36,55.984964
156.0,33,56.011965
54.0,22,56.028336
135.0,33,56.055214
450.0,73,56.1101
174.0,42,56.142083
90.0,26,56.167111
156.0,32,56.192237
438.0,67,56.244532
1086.0,105,56.323381
129.0,37,56.351204
306.0,46,56.387255
396.0,56,56.431371
120.0,42,56.464436
177.0,66,56.511877
393.0,62,56.563941
201.0,66,56.612628
234.0,47,56.6478
279.0,115,56.728736
255.0,61,56.774477
954.0,97,56.84924
180.0,55,56.887228
144.0,32,56.910846
240.0,59,56.960581
609.0,78,57.019508
240.0,55,57.060641
1200.0,117,57.151716
96.0,22,57.168845
375.0,72,57.224075
513.0,77,57.280174
141.0,47,57.318942
57.0,21,57.336254
216.0,49,57.371725
1131.0,135,57.46969
96.0,33,57.495432
261.0,136,57.586365
384.0,57,57.629756
69.0,23,57.646409
222.0,45,57.685901
120.0,54,57.724735
156.0,47,57.758417
324.0,137,57.84675
873.0,83,57.907934
510.0,89,57.975254
357.0,53,58.014306
369.0,124,58.106032
234.0,45,58.139709
921.0,349,58.354526
135.0,31,58.38469
1377.0,191,58.523307
312.0,60,58.567454
153.0,33,58.592452
1314.0,131,58.692466
960.0,103,58.771573
933.0,84,58.835606
153.0,34,58.861768
435.0,69,58.914244
480.0,68,58.964427
456.0,68,59.015235
468.0,71,59.066244
96.0,26,59.084969
117.0,29,59.106354
1134.0,122,59.201911
768.0,69,59.255119
153.0,33,59.280741
300.0,73,59.334096
105.0,80,59.387956
159.0,36,59.415765
1101.0,113,59.505163
1092.0,102,59.58431
423.0,73,59.637687
144.0,29,59.660492
114.0,30,59.682953
243.0,48,59.721223
297.0,67,59.770278
150.0,31,59.793905
450.0,61,59.840641
159.0,36,59.869117
126.0,26,59.895023
408.0,76,59.951018
858.0,80,60.011732
291.0,64,60.060055
1026.0,173,60.178788
591.0,91,60.254359
906.0,90,60.323367
141.0,33,60.347587
318.0,65,60.396522
423.0,64,60.445065
246.0,45,60.481068
81.0,25,60.501018
252.0,59,60.547238
81.0,24,60.56508
1020.0,113,60.649505
750.0,124,60.737414
624.0,86,60.80203
171.0,46,60.835912
399.0,60,60.881996
300.0,41,60.913704
291.0,58,60.956865
135.0,54,60.995358
495.0,86,61.066858
219.0,43,61.100875
372.0,66,61.148782
177.0,45,61.182086
342.0,50,61.221071
870.0,77,61.278142
630.0,104,61.35248
63.0,19,61.366646
1104.0,110,61.4571
225.0,45,61.491284
1203.0,152,61.600604
393.0,68,61.649676
102.0,26,61.669476
210.0,47,61.706843
66.0,24,61.72404
147.0,36,61.752597
132.0,35,61.786245
582.0,92,61.855014
447.0,60,61.902055
105.0,31,61.925331
300.0,71,61.979142
84.0,32,62.00416
354.0,90,62.070662
870.0,149,62.175686
159.0,46,62.209012
234.0,49,62.247698
699.0,110,62.331729
234.0,52,62.370856
156.0,64,62.417489
1125.0,89,62.484987
108.0,69,62.538977
309.0,56,62.582644
1056.0,123,62.669609
243.0,57,62.711494
663.0,82,62.775924
2559.0,152,62.890213
249.0,72,62.950387
117.0,26,62.969847
630.0,90,63.035084
426.0,60,63.084818
1065.0,138,63.203336
588.0,84,63.267048
438.0,69,63.328072
147.0,51,63.365541
387.0,57,63.409905
267.0,61,63.455639
270.0,50,63.494809
267.0,53,63.535638
237.0,48,63.571226
426.0,61,63.619154
303.0,47,63.655946
426.0,68,63.712743
405.0,64,63.76138
153.0,35,63.78837
324.0,49,63.823946
411.0,79,63.881067
111.0,32,63.904673
159.0,37,63.932803
132.0,39,63.960588
33.0,19,63.974558
141.0,38,64.002747
66.0,19,64.016862
156.0,47,64.048426
291.0,57,64.096636
255.0,55,64.139213
222.0,47,64.175459
1104.0,113,64.259277
345.0,80,64.319597
534.0,77,64.378491
873.0,93,64.448595
495.0,84,64.512343
543.0,95,64.581933
96.0,32,64.606227
78.0,23,64.622799
303.0,53,64.663454
615.0,84,64.728665
711.0,112,64.807697
144.0,31,64.836678
141.0,30,64.860086
432.0,72,64.913045
315.0,66,64.960644
129.0,35,64.98755
90.0,27,65.007648
399.0,57,65.052939
18.0,13,65.062062
186.0,43,65.099381
174.0,43,65.133406
999.0,97,65.221432
288.0,49,65.259696
567.0,67,65.31038
231.0,51,65.348125
81.0,27,65.36902
240.0,57,65.410721
561.0,77,65.4693
75.0,28,65.490739
108.0,24,65.5106
417.0,59,65.554999
78.0,30,65.577192
312.0,50,65.620528
51.0,16,65.632705
174.0,36,65.659907
207.0,39,65.689933
150.0,33,65.714492
93.0,34,65.739849
129.0,34,65.766255
735.0,101,65.841667
483.0,75,65.896232
141.0,32,65.920093
483.0,78,65.979615
75.0,49,66.014015
441.0,58,66.05815
249.0,52,66.096025
486.0,66,66.146141
387.0,54,66.187551
234.0,46,66.22275
903.0,90,66.291739
279.0,58,66.332942
435.0,67,66.38729
186.0,54,66.426731
63.0,35,66.451669
138.0,41,66.48173
444.0,94,66.550575
165.0,48,66.585694
372.0,68,66.633751
87.0,23,66.652325
603.0,81,66.715238
114.0,30,66.743812
114.0,33,66.769308
387.0,53,66.809441
249.0,85,66.869436
54.0,17,66.883176
132.0,47,66.917045
66.0,21,66.933275
144.0,34,66.958956
240.0,50,66.995737
207.0,56,67.036351
309.0,44,67.069788
171.0,37,67.097462
435.0,65,67.152236
210.0,41,67.184914
57.0,19,67.198579
78.0,22,67.216066
198.0,50,67.253734
135.0,81,67.307002
225.0,48,67.344522
165.0,38,67.374049
429.0,72,67.431381
336.0,134,67.530221
36.0,16,67.54336
309.0,66,67.592657
921.0,107,67.670307
216.0,46,67.705736
57.0,26,67.726359
192.0,36,67.754629
168.0,40,67.786012
153.0,34,67.812198
294.0,39,67.841522
138.0,31,67.872033
447.0,90,67.937654
234.0,102,68.005397
174.0,43,68.036212
93.0,27,68.054939
102.0,27,68.074449
258.0,47,68.109951
90.0,28,68.13127
162.0,37,68.160741
150.0,37,68.187465
165.0,37,68.216287
201.0,39,68.250479
168.0,124,68.330664
174.0,43,68.361848
129.0,31,68.384345
375.0,56,68.428152
759.0,120,68.519402
468.0,82,68.578553
381.0,55,68.625619
189.0,47,68.660583
222.0,66,68.707068
141.0,30,68.729942
567.0,68,68.781722
108.0,41,68.811773
441.0,104,68.883777
657.0,85,68.94611
582.0,79,69.011165
45.0,36,69.036041
288.0,70,69.087343
612.0,86,69.151745
117.0,25,69.170958
351.0,88,69.23458
183.0,41,69.264431
393.0,57,69.304974
291.0,43,69.341034
390.0,61,69.387686
84.0,23,69.406385
516.0,97,69.476974
63.0,22,69.493168
543.0,76,69.554767
324.0,76,69.608377
114.0,51,69.64296
63.0,21,69.658141
384.0,64,69.705155
87.0,26,69.73073
342.0,46,69.765151
105.0,27,69.785492
1047.0,99,69.862924
594.0,104,69.93994
387.0,60,69.983534
309.0,71,70.034318
321.0,49,70.068127
393.0,62,70.119869
84.0,27,70.139596
234.0,45,70.173857
213.0,42,70.206648
87.0,25,70.226056
126.0,57,70.265448
216.0,51,70.303345
462.0,71,70.35564
411.0,66,70.407079
1011.0,101,70.489029
177.0,44,70.524029
102.0,28,70.544782
141.0,44,70.577803
531.0,80,70.636552
159.0,132,70.722934
207.0,60,70.77029
186.0,44,70.804094
243.0,56,70.853374
417.0,67,70.906249
126.0,51,70.941365
321.0,75,70.993185
240.0,45,71.025985
156.0,49,71.060104
1374.0,143,71.163256
1029.0,105,71.245177
372.0,66,71.295371
408.0,57,71.338636
237.0,50,71.37596
162.0,35,71.402862
480.0,152,71.506687
162.0,39,71.535804
162.0,52,71.575549
258.0,55,71.623501
267.0,50,71.662293
627.0,93,71.72952
462.0,84,71.789893
402.0,64,71.839799
96.0,67,71.884345
972.0,89,71.95013
555.0,77,72.013624
192.0,70,72.063937
900.0,102,72.137408
648.0,81,72.200651
1572.0,149,72.315319
171.0,36,72.347511
60.0,30,72.369144
417.0,61,72.41597
177.0,36,72.443341
174.0,46,72.478492
147.0,32,72.502812
504.0,76,72.561995
219.0,49,72.598533
1428.0,130,72.692261
570.0,74,72.753516
144.0,31,72.777251
231.0,43,72.811139
51.0,20,72.826459
267.0,50,72.864989
177.0,47,72.899964
507.0,83,72.961989
201.0,90,73.024223
1326.0,163,73.15019
252.0,49,73.187657
549.0,91,73.257017
159.0,35,73.284228
63.0,19,73.299373
303.0,80,73.357693
450.0,68,73.410173
399.0,79,73.465486
84.0,27,73.492934
138.0,34,73.52086
552.0,150,73.625529
528.0,155,73.731467
669.0,85,73.794307
132.0,35,73.819729
522.0,76,73.88198
147.0,55,73.92083
150.0,33,73.945897
402.0,59,73.99124
72.0,21,74.007282
99.0,109,74.08073
138.0,44,74.114169
594.0,99,74.187229
180.0,64,74.237435
699.0,100,74.307191
951.0,94,74.375299
213.0,58,74.418631
450.0,77,74.477594
237.0,83,74.536151
1143.0,114,74.625759
156.0,32,74.649845
99.0,34,74.675158
273.0,63,74.722492
891.0,125,74.814561
402.0,61,74.86241
174.0,42,74.894146
300.0,138,74.991062
666.0,104,75.06748
459.0,92,75.132219
30.0,16,75.143179
66.0,25,75.161343
126.0,29,75.183471
447.0,63,75.231765
84.0,164,75.337578
882.0,79,75.397645
144.0,30,75.420507
225.0,61,75.464957
186.0,39,75.495223
96.0,33,75.522181
225.0,46,75.557989
318.0,66,75.606059
111.0,39,75.632765
153.0,61,75.678656
492.0,88,75.744573
246.0,46,75.780465
114.0,47,75.814546
345.0,60,75.860039
396.0,67,75.911024
66.0,24,75.929328
261.0,63,75.974239
624.0,86,76.035365
84.0,28,76.062145
96.0,32,76.085568
30.0,16,76.099174
111.0,30,76.122745
93.0,37,76.149286
189.0,40,76.178967
264.0,50,76.216449
93.0,28,76.239021
27.0,12,76.248136
219.0,41,76.280135
138.0,32,76.304759
828.0,73,76.359921
204.0,51,76.397559
402.0,58,76.447953
90.0,23,76.466405
96.0,28,76.486744
642.0,86,76.551704
387.0,74,76.603056
186.0,39,76.631866
177.0,37,76.660786
135.0,75,76.713688
180.0,43,76.748225
165.0,30,76.771724
141.0,32,76.794597
84.0,24,76.866936
246.0,53,76.907733
285.0,39,76.937829
336.0,48,76.976281
183.0,38,77.008766
351.0,54,77.051735
420.0,63,77.101068
156.0,39,77.133311
1110.0,94,77.206931
684.0,114,77.296042
1023.0,99,77.374758
456.0,65,77.42603
249.0,48,77.464153
309.0,45,77.500511
336.0,44,77.535466
411.0,69,77.588198
72.0,24,77.606833
126.0,36,77.634788
